препараты в отчетах;Препараты
амицитрон плюс от кашля без сахара пор доральн рра саше 5 г №10;Амицитрон® Плюс без сахара №10
амицитрон пор дорал рра 13 г саше №11;Амицитрон® без №10
амицитрон пор дорал рра 23 г саше №10;Амицитрон® без №10
амицитрон форте пор 23 г саше №10;Амицитрон® Форте №10
бензонал с табл 0,1г №50;Бензонал IC® 0,1 №50
амилар c табл драссасывания;Error
витамин c табл жев 500 мг;Error
витамин c табл жев 500 мг, апельсин;Error
гинкгоба капс 120 мг;Error
гинкгоба капс 80 мг;Error
гдазепам с таб0,02 №20;Гидазепам IC® 0,02 №20
гдазепам с таб0,05 №10;Гидазепам IC® 0,05 №10
гдазепам с табсублнг 0,02 №20;Гидазепам IC® субл. 0,02 №20
гдазепам с табсублнг 0,05 №10;Гидазепам IC® субл. 0,05 №10
интагра c табл по 50 мг;Error
интагра таб 0025 №2;Интагра® ІС 0,05 №2
интагра таб 0025 №4;Интагра® ІС 0,025 №4
интагра таб 005 №2;Интагра® ІС 0,05 №2
интагра таб 01;Error
интагра таб 01 №2;Интагра® ІС 0,1 №2
интагра таб 01 №4;Интагра® ІС 0,1 №4
левана с таб 0,001г №10;Левана® IC 0,001 № 10
левана с таб 0,5 мг№20;Левана® IC 0,0005 № 20
лверя с табл 05г №20 10х2 блистер;Ливерия® ІС 0,5 №20
мебикар c табл 300 мг №20;Мебикар IC 0,3 №20
мебикар c табл 500 мг №20;Мебикар IC 0,5 №20
нообут с  500 мг;Нообут® IC 500 №10
нообут с табл 100 мг;Нообут® IC 0,1 №20
нообут с табл0,25 г №20;Нообут® IC 0,25 №20
одри c;Одри ІС №20
паракод c;Паракод® IC №10
пенталгнc табл№10;Пенталгин IC® № 10
прампексол с табл 025мг №30;Прамипексол ІС 0,00025 №30
пятирчатка с табл пенталгн №10;Пятирчатка® IC №10
регисол c пордоралрра18,9г саше №10;Регисол IC №10
розувастатин c табл по 10 мг №30;Розувастатин ІС 10 №30
розувастатин c табл по 20 мг №30;Розувастатин ІС 20 №30
розувастатин c табл по 5 мг №30;Розувастатин ІС 05 №30
транквилар c табл 300 мг №20;Транквилар® IC 0,3 №20
флумбакт c таблваг10мг №6;Флумибакт ІС №6
амксин с табл, во, по 0,06 г №10 5х2;Амиксин® IC 0,06 №10
амксин с табл, во, по 0,06 г №3;Амиксин® IC 0,06 №3
амксин с табл, во, по 0,06 г №6 3х2;Амиксин® IC 0,06 №3
амксин с табл, во, по 0,125 г №10 5х2;Амиксин® IC 0,125 №10
амксин с табл, во, по 0,125 г №6 3х2;Амиксин® IC 0,125 №6
амксин с табл, во, по 0125 г №3;Амиксин® IC 0,125 №3
амлар с табл дрозсмок №16 8х2;Амилар ІС №16
амлар с табл дрозсмок з смак апельс №16 8х2;Амилар ІС апельсин №16
амлар с табл дрозсмок з смак вишн №16 8х2;Амилар ІС вишня №16
амспрон c табл пролд, вплв обол, по 0,08 г №10 10х1;Амиспирон® IC 0,08 №10
амцитрон екстратаб табл, вплв обол, №10 10х1;Амицитрон® Экстратаб №10
амцитрон пор дор рну по 23 г у саше №10;Амицитрон® №10
втамн с табл жув з смак апельс по 500 мг №24 8х3;Витамин С апельсин №24
алкодез c таб 0,5 №4;Алкодез® ІС 0,5 №4
амиксинc тб 0,06 №10;Амиксин® IC 0,06 №10
амиксинc тб 0,06 №3 ддетей;Амиксин® IC 0,06 №3
амиксинc тб 0,125 №3;Амиксин® IC 0,125 №3
амиксинc тб 0,125 №6;Амиксин® IC 0,125 №6
амиксинc тб 0,125 №10;Амиксин® IC 0,125 №10
амиларc таб драссас№16;Амилар ІС №16
амиларc таб драссас№8;Амилар ІС №8
амиспирон c таб 0,08 г №10;Амиспирон® IC 0,08 №10
амицитрон  экстратаб  таб  пплен об  №10;Амицитрон® Экстратаб №10
амицитрон пордоррра 23г саше №10;Амицитрон® №10
амицитрон форте пордоррра 23г саше №10;Амицитрон® Форте №10
бебиплант пор дор рра 5г саше №10;Бебиплант №10
бензонал c 01 №50;Бензонал IC® 0,1 №50
витамин с таб жев 500мг №56;Error
гидазепам c сублингв тб 0,05г №10;Гидазепам IC® субл. 0,05 №10
гидазепам c тб сублингв 0,02г №20;Гидазепам IC® субл. 0,02 №20
интагра c табл 50мг №4;Интагра® ІС 0,05 №4
мебикар c тб 300мг №20;Мебикар IC 0,3 №20
нообут c 100 пор дор рра 100мгдоза 2,5г саше №10;Нообут® IC 100 №10
нообут c тб 0,25г №20;Нообут® IC 0,25 №20
пенталгинc №10;Пенталгин IC® № 10
пятирчатка c тб №10;Пятирчатка® IC №10
розувастатин c таб 20мг №30;Розувастатин ІС 20 №30
флумибакт c таб вагин 10мг №6;Флумибакт ІС №6
амиксин с табл по 006мг №6 3х2, ед;Амиксин® IC 0,06 №6
амиксин с табл по 125мг №10, ед;Амиксин® IC 0,125 №10
амиксин с табл по 125мг №3, ед;Амиксин® IC 0,125 №3
амиксин с табл по 125мг №6 3х2, ед;Амиксин® IC 0,125 №6
амилар с  табл №16 8х2, ед;Амилар ІС №16
амилар с апельс табл №16 8х2, ед;Амилар ІС апельсин №16
амилар с вишня табл №16 8х2, ед;Амилар ІС вишня №16
амиспирон с табл 008г табл №10, ед;Амиспирон® IC 0,08 №10
амиспирон с табл 008г табл №20, ед;Амиспирон® IC 0,08 №20
амицитрон без цукру саше №10, ед;Амицитрон® без сахара №10
амицитрон саше №10, ед;Амицитрон® №10
амицитрон форте без цукру саше №10, ед;Амицитрон® Форте без сахара №10
амицитрон форте саше №10, ед;Амицитрон® Форте №10
анальгиндибазолпапаверин табл №10 , ед;Анальгин-Дибазол-Папаверин №10
регисол нео саше №8, ед;Регисол IC №10
амиксин 0125 тб№10;Амиксин® IC 0,125 №10
амиксин 0125 тб№3;Амиксин® IC 0,125 №3
амиксин 0125 тб№6;Амиксин® IC 0,125 №6
амиксин ис 006 тб№3;Амиксин® IC 0,06 №3
амиксин ис 006 тб№6;Амиксин® IC 0,06 №6
амиспирон с тб 0,08г №20;Амиспирон® IC 0,08 №20
